admin_code	name	name_en
CA.01.4802001	County of Warner No. 5	County of Warner No. 5
CA.01.4811001	County of Wetaskiwin No. 10	County of Wetaskiwin No. 10
CA.02.5919	Cowichan Valley Regional District	Cowichan Valley Regional District
CA.07.1211	Cumberland County	Cumberland County
CA.01.4801003	Cypress County	Cypress County
CA.03.5935342	Dauphin	Dauphin
CA.03.5938127	De Salaberry	De Salaberry
CA.07.1203	Digby County	Digby County
CA.08.3522	Dufferin County	Dufferin County
CA.03.5943543	Dufferin	Dufferin
CA.08.3518	Durham	Durham
CA.03.5946153	East St. Paul	East St. Paul
CA.08.3534	Elgin County	Elgin County
CA.03.5948173	Elton	Elton
CA.08.3537	Essex County	Essex County
CA.10.05	Estrie	Estrie
CA.03.5950217	Ethelbert	Ethelbert
CA.03.5953379	Fisher	Fisher
CA.01.4807031	Flagstaff County	Flagstaff County
CA.02.5909	Fraser Valley Regional District	Fraser Valley Regional District
CA.08.3510	Frontenac County	Frontenac County
CA.03.5961067	Gilbert Plains	Gilbert Plains
CA.03.5961416	Gimli	Gimli
CA.03.5964094	Grahamdale	Grahamdale
CA.03.5964715	Grandview	Grandview
CA.02.5915	Metro Vancouver Regional District	Metro Vancouver Regional District
CA.08.3542	Grey County	Grey County
CA.03.5966926	Grey	Grey
CA.07.1213	Guysborough County	Guysborough County
CA.08.3528	Haldimand County	Haldimand County
CA.08.3546	Haliburton County	Haliburton County
CA.07.1209	Halifax Regional Municipality	Halifax Regional Municipality
CA.08.3524	Halton	Halton
CA.08.3525	Hamilton	Hamilton
CA.03.5969882	Hamiota	Hamiota
CA.03.5970302	Hanover	Hanover
CA.07.1208	Hants	Hants
CA.08.3512	Hastings County	Hastings County
CA.03.5972962	Headingley	Headingley
CA.08.3540	Huron County	Huron County
CA.01.4815037	Improvement District No. 12	Improvement District No. 12
CA.01.4810068	Improvement District No. 13	Improvement District No. 13
CA.01.4816051	Improvement District No. 24	Improvement District No. 24
CA.01.4814028	Improvement District No. 25	Improvement District No. 25
CA.01.4803003	Improvement District No. 4	Improvement District No. 4
CA.01.4815032	Improvement District No. 9	Improvement District No. 9
CA.07.1215	Inverness County	Inverness County
CA.01.4815033	Jasper	Jasper
CA.01.4815013	Kananaskis Improvement District	Kananaskis Improvement District
CA.08.3516	Kawartha Lakes	Kawartha Lakes
CA.03.5990627	Kelsey	Kelsey
CA.08.3560	Kenora District	Kenora District
CA.04.1308	Kent County	Kent County
CA.09.1101	Kings County	Kings County
CA.07.1207	Kings County	Kings County
CA.04.1305	Kings County	Kings County
CA.01.4805041	Kneehill County	Kneehill County
CA.03.5994865	La Broquerie	La Broquerie
CA.03.6014442	Lac du Bonnet	Lac du Bonnet
CA.01.4808022	Lacombe County	Lacombe County
CA.01.4813001	Lac Ste. Anne County	Lac Ste. Anne County
CA.08.3538	Lambton County	Lambton County
CA.01.4810058	Lamont County	Lamont County
CA.08.3509	Lanark County	Lanark County
CA.10.14	Lanaudière	Lanaudiere
CA.10.15	Laurentides	Laurentides
CA.10.13	Laval	Laval
CA.01.4811012	Leduc County	Leduc County
CA.08.3511	Lennox and Addington County	Lennox and Addington County
CA.03.6060360	Lorne	Lorne
CA.03.6060804	Louise	Louise
CA.07.1206	Lunenburg County	Lunenburg County
CA.03.6062676	Macdonald	Macdonald
CA.08.3551	Manitoulin District	Manitoulin District
CA.10.04	Mauricie	Mauricie
CA.03.6069089	McCreary	McCreary
CA.08.3539	Middlesex County	Middlesex County
CA.03.6076808	Montcalm	Montcalm
CA.10.16	Montérégie	Monteregie
CA.10.06	Montréal	Montreal
CA.03.6078726	Morris	Morris
CA.03.6079284	Mossey River	Mossey River
CA.01.4806028	Mountain View County	Mountain View County
CA.01.4804001	Municipal District of Acadia No. 34	Municipal District of Acadia No. 34
CA.01.4815015	Municipal District of Bighorn No. 8	Municipal District of Bighorn No. 8
CA.01.4817027	Municipal District of Big Lakes No. 125	Municipal District of Big Lakes No. 125
CA.01.4812004	Municipal District of Bonnyville No. 87	Municipal District of Bonnyville No. 87
CA.01.4817062	Municipal District of Clear Hills No. 21	Municipal District of Clear Hills No. 21
CA.01.4819066	Municipal District of Fairview No. 136	Municipal District of Fairview No. 136
CA.01.4806001	Municipal District of Foothills No. 31	Municipal District of Foothills No. 31
CA.01.4818015	Municipal District of Greenview No. 16	Municipal District of Greenview No. 16
CA.01.4817033	Municipal District of Lesser Slave River No. 124	Municipal District of Lesser Slave River No. 124
CA.01.4817076	Municipal District of Northern Lights No. 22	Municipal District of Northern Lights No. 22
CA.01.4817031	Municipal District of Opportunity No. 17	Municipal District of Opportunity No. 17
CA.01.4819071	Municipal District of Peace No. 135	Municipal District of Peace No. 135
CA.01.4803011	Municipal District of Pincher Creek No. 9	Municipal District of Pincher Creek No. 9
CA.01.4807001	Municipal District of Provost No. 52	Municipal District of Provost No. 52
CA.01.4815045	Municipal District of Ranchland No. 66	Municipal District of Ranchland No. 66
CA.01.4806014	Municipal District of Rocky View No. 44	Municipal District of Rocky View No. 44
CA.01.4819041	Municipal District of Smoky River No. 130	Municipal District of Smoky River No. 130
CA.01.4819054	Municipal District of Spirit River No. 133	Municipal District of Spirit River No. 133
CA.01.4802021	Municipal District of Taber	Municipal District of Taber
CA.01.4807049	Municipal District of Wainwright No. 61	Municipal District of Wainwright No. 61
CA.01.4813028	Municipal District of Westlock No. 92	Municipal District of Westlock No. 92
CA.01.4803018	Municipal District of Willow Creek No. 26	Municipal District of Willow Creek No. 26
CA.08.3544	District Municipality of Muskoka	District Municipality of Muskoka
CA.08.3526	Regional Municipality of Niagara	Regional Municipality of Niagara
CA.08.3548	Nipissing District	Nipissing District
CA.01.4817026	Northern Sunrise County	Northern Sunrise County
CA.03.6090358	North Norfolk	North Norfolk
CA.04.1309	Northumberland County	Northumberland County
CA.08.3514	Northumberland County	Northumberland County
CA.10.07	Outaouais	Outaouais
CA.08.3532	Oxford County	Oxford County
CA.01.4811034	Parkland County	Parkland County
CA.08.3549	Parry Sound District	Parry Sound District
CA.02.5955	Peace River Regional District	Peace River Regional District
CA.08.3521	Peel	Peel
CA.03.6100811	Pembina	Pembina
CA.08.3531	Perth County	Perth County
CA.08.3515	Peterborough County	Peterborough County
CA.07.1212	Pictou County	Pictou County
CA.03.6105291	Piney	Piney
CA.03.6105529	Pipestone	Pipestone
CA.01.4808038	Ponoka County	Ponoka County
CA.03.6111530	Portage la Prairie	Portage la Prairie
CA.02.5927	Powell River Regional District	Powell River Regional District
CA.09.1103	Prince County	Prince County
CA.08.3513	Prince Edward County	Prince Edward County
CA.09.1102	Queens County	Queens County
CA.07.1204	Queens County	Queens County
CA.04.1304	Queens County	Queens County
CA.08.3559	Rainy River District	Rainy River District
CA.01.4808001	Red Deer County	Red Deer County
CA.02.5923	Regional District of Alberni-Clayoquot	Regional District of Alberni-Clayoquot
CA.02.5951	Regional District of Bulkley-Nechako	Regional District of Bulkley-Nechako
CA.02.5903	Regional District of Central Kootenay	Regional District of Central Kootenay
CA.02.5935	Regional District of Central Okanagan	Regional District of Central Okanagan
CA.02.5901	Regional District of East Kootenay	Regional District of East Kootenay
CA.02.5953	Regional District of Fraser-Fort George	Regional District of Fraser-Fort George
CA.02.5949	Regional District of Kitimat-Stikine	Regional District of Kitimat-Stikine
CA.02.5905	Regional District of Kootenay-Boundary	Regional District of Kootenay-Boundary
CA.02.5943	Regional District of Mount Waddington	Regional District of Mount Waddington
CA.02.5921	Regional District of Nanaimo	Regional District of Nanaimo
CA.02.5937	Regional District of North Okanagan	Regional District of North Okanagan
CA.02.5907	Regional District of Okanagan-Similkameen	Regional District of Okanagan-Similkameen
CA.08.3547	Renfrew County	Renfrew County
CA.03.6121677	Reynolds	Reynolds
CA.03.6121732	Rhineland	Rhineland
CA.07.1216	Richmond County	Richmond County
CA.03.6122576	Ritchot	Ritchot
CA.03.6125861	Cartwright–Roblin	Cartwright-Roblin
CA.03.6126541	Rockwood	Rockwood
CA.03.6127181	Roland	Roland
CA.03.6127585	Rosedale	Rosedale
CA.03.6127818	Rossburn	Rossburn
CA.03.6127874	Rosser	Rosser
CA.01.4819059	Saddle Hills County	Saddle Hills County
CA.10.02	Saguenay/Lac-Saint-Jean	Saguenay/Lac-Saint-Jean
CA.04.1301	Saint John County	Saint John County
CA.07.1201	Shelburne County	Shelburne County
CA.03.6147482	Sifton	Sifton
CA.08.3543	Simcoe County	Simcoe County
CA.02.5947	Skeena-Queen Charlotte Regional District	Skeena-Queen Charlotte Regional District
CA.01.4812022	Smoky Lake County	Smoky Lake County
CA.01.4804004	Special Area No. 2	Special Area No. 2
CA.01.4804012	Special Area No. 3	Special Area No. 3
CA.01.4804020	Special Area No. 4	Special Area No. 4
CA.01.4817095	Mackenzie County	Mackenzie County
CA.03.6154185	Springfield	Springfield
CA.02.5931	Squamish-Lillooet Regional District	Squamish-Lillooet Regional District
CA.03.6155131	St. Andrews	St. Andrews
CA.03.6155186	Stanley	Stanley
CA.01.4805031	Starland County	Starland County
CA.03.6155764	St. Clements	St. Clements
CA.03.6155865	Ste. Anne	Ste. Anne
CA.03.6156288	Ste. Rose	Ste. Rose
CA.03.6156605	St. François Xavier	St. Francois Xavier
CA.03.6156971	St. Laurent	St. Laurent
CA.01.4811052	Strathcona County	Strathcona County
CA.03.6158376	Stuartburn	Stuartburn
CA.01.4811059	Sturgeon County	Sturgeon County
CA.08.3552	Sudbury	Sudbury
CA.08.3553	Greater Sudbury	Greater Sudbury
CA.04.1303	Sunbury County	Sunbury County
CA.02.5929	Sunshine Coast Regional District	Sunshine Coast Regional District
CA.03.6160992	Taché	Tache
CA.03.6165405	Thompson	Thompson
CA.02.5933	Thompson-Nicola Regional District	Thompson-Nicola Regional District
CA.08.3558	Thunder Bay District	Thunder Bay District
CA.08.3554	Timiskaming District	Timiskaming District
CA.03.6170648	Killarney-Turtle Mountain	Killarney-Turtle Mountain
CA.08.3507	United Counties of Leeds and Grenville	United Counties of Leeds and Grenville
CA.08.3502	Comtés unis de Prescott et Russell	Comtes unis de Prescott et Russell
CA.08.3501	United Counties of Stormont, Dundas and Glengarry	United Counties of Stormont, Dundas and Glengarry
CA.07.1218	Victoria County	Victoria County
CA.03.6174040	Victoria	Victoria
CA.03.6174050	Victoria Beach	Victoria Beach
CA.01.4805001	Vulcan County	Vulcan County
CA.08.3530	Regional Municipality of Waterloo	Regional Municipality of Waterloo
CA.08.3523	Wellington County	Wellington County
CA.04.1307	Westmorland County	Westmorland County
CA.03.6179507	West St. Paul	West St. Paul
CA.01.4805012	Wheatland County	Wheatland County
CA.03.6180469	Whitehead	Whitehead
CA.03.6180732	Whitemouth	Whitemouth
CA.01.4816037	Wood Buffalo	Wood Buffalo
CA.03.6184198	Woodlands	Woodlands
CA.01.4813029	Woodlands County	Woodlands County
CA.07.1202	Yarmouth County	Yarmouth County
CA.01.4814003	Yellowhead County	Yellowhead County
CA.04.1310	York County	York County
CA.08.3519	York	York
CA.10.01	Bas-Saint-Laurent	Bas-Saint-Laurent
CA.10.03	Capitale-Nationale	Capitale-Nationale
CA.10.10	Nord-du-Québec	Nord-du-Quebec
CA.10.11	Gaspésie-Îles-de-la-Madeleine	Gaspesie-Iles-de-la-Madeleine
CA.10.12	Chaudière-Appalaches	Chaudiere-Appalaches
CA.04.1314	Restigouche	Restigouche
CA.08.3520	Toronto county	Toronto county
CA.10.17	Centre-du-Québec	Centre-du-Quebec
CA.08.3506	Ottawa	Ottawa
CA.02.5926	Comox Valley Regional District	Comox Valley Regional District
CA.02.5959	Northern Rockies Regional Municipality	Northern Rockies Regional Municipality
CA.02.5957	Stikine Region	Stikine Region
CA.02.5924	Strathcona Regional District	Strathcona Regional District
CA.04.1315	Gloucester County	Gloucester County
CA.04.1313	Madawaska County	Madawaska County
CA.04.1312	Victoria County	Victoria County
CA.03.11153049	Yellowhead	Yellowhead
CA.01.4812037	Lac la Biche County	Lac la Biche County
CA.01.4815007	Crowsnest Pass	Crowsnest Pass
CA.01.4806016	Calgary	Calgary
CA.01.4811061	Edmonton	Edmonton
CA.01.4801006	Medicine Hat	Medicine Hat
CA.01.4802012	Lethbridge	Lethbridge
CA.01.4811007	Norris Beach	Norris Beach
CA.01.4811062	St. Albert	St. Albert
CA.01.4803021	Granum	Granum
CA.01.4813031	Westlock	Westlock
CA.01.4814024	Edson	Edson
CA.01.4813046	Boyle	Boyle
CA.01.4806021	Airdrie	Airdrie
CA.01.4802019	Coaldale	Coaldale
CA.01.4813014	Onoway	Onoway
CA.01.4806022	Irricana	Irricana
CA.01.4806026	Crossfield	Crossfield
CA.01.4812016	Elk Point	Elk Point
CA.01.4810039	Lloydminster	Lloydminster
CA.01.4807004	Czar	Czar
CA.01.4810011	Camrose	Camrose
CA.01.4808031	Lacombe	Lacombe
CA.01.4811016	Leduc	Leduc
CA.01.4811049	Spruce Grove	Spruce Grove
CA.01.4802034	Brooks	Brooks
CA.01.4806034	Olds	Olds
CA.01.4812018	St. Paul	St. Paul
CA.01.4810022	Viking	Viking
CA.01.4811056	Fort Saskatchewan	Fort Saskatchewan
CA.01.4819012	Grande Prairie	Grande Prairie
CA.01.4802029	Vauxhall	Vauxhall
CA.01.4808011	Red Deer	Red Deer
CA.01.4811011	Millet	Millet
CA.01.4806017	Chestermere	Chestermere
CA.01.4811002	Wetaskiwin	Wetaskiwin
CA.01.4811013	Beaumont	Beaumont
CA.01.4805049	Trochu	Trochu
CA.01.4803016	Cowley	Cowley
CA.01.4812002	Cold Lake	Cold Lake
CA.01.4813002	Mayerthorpe	Mayerthorpe
CA.01.4817024	Swan Hills	Swan Hills
CA.01.4805048	Three Hills	Three Hills
CA.01.4810028	Vegreville	Vegreville
CA.01.4807012	Coronation	Coronation
CA.01.4811065	Redwater	Redwater
CA.01.4811066	Bon Accord	Bon Accord
CA.01.4810052	Two Hills	Two Hills
CA.01.4819046	Falher	Falher
CA.01.4802018	Picture Butte	Picture Butte
CA.01.4815023	Canmore	Canmore
CA.01.4811048	Stony Plain	Stony Plain
CA.01.4803026	Nanton	Nanton
CA.01.4808012	Sylvan Lake	Sylvan Lake
CA.01.4808024	Eckville	Eckville
CA.01.4808026	Bentley	Bentley
CA.01.4808029	Blackfalds	Blackfalds
CA.01.4814019	Hinton	Hinton
CA.01.4803024	Stavely	Stavely
CA.01.4806032	Didsbury	Didsbury
CA.01.4813015	South View	South View
CA.01.4803019	Fort Macleod	Fort Macleod
CA.01.4803022	Claresholm	Claresholm
CA.01.4806029	Carstairs	Carstairs
CA.01.4811064	Gibbons	Gibbons
CA.01.4807026	Stettler	Stettler
CA.01.4804014	Oyen	Oyen
CA.01.4801014	Bow Island	Bow Island
CA.01.4805018	Strathmore	Strathmore
CA.01.4813019	Barrhead	Barrhead
CA.01.4813033	Larkspur	Larkspur
CA.01.4801018	Redcliff	Redcliff
CA.01.4802013	Coalhurst	Coalhurst
CA.01.4810019	Ryley	Ryley
CA.01.4810018	Tofield	Tofield
CA.01.4819009	Beaverlodge	Beaverlodge
CA.01.4806019	Cochrane	Cochrane
CA.01.4805034	Delia	Delia
CA.01.4805006	Vulcan	Vulcan
CA.01.4807002	Provost	Provost
CA.01.4805036	Munson	Munson
CA.01.4810066	Bruderheim	Bruderheim
CA.01.4802036	Duchess	Duchess
CA.01.4810056	Willingdon	Willingdon
CA.01.4807014	Castor	Castor
CA.01.4819011	Wembley	Wembley
CA.01.4805026	Drumheller	Drumheller
CA.01.4812029	Smoky Lake	Smoky Lake
CA.01.4810002	Bashaw	Bashaw
CA.01.4805038	Morrin	Morrin
CA.01.4811018	Devon	Devon
CA.01.4811019	Calmar	Calmar
CA.01.4802004	Milk River	Milk River
CA.01.4811031	Drayton Valley	Drayton Valley
CA.01.4810042	Vermilion	Vermilion
CA.01.4807016	Halkirk	Halkirk
CA.01.4808044	Rimbey	Rimbey
CA.01.4813030	Whitecourt	Whitecourt
CA.01.4802008	Raymond	Raymond
CA.01.4818018	Valleyview	Valleyview
CA.01.4810061	Mundare	Mundare
CA.01.4810064	Lamont	Lamont
CA.01.4808042	Parkland Beach	Parkland Beach
CA.01.4802022	Taber	Taber
CA.01.4808039	Ponoka	Ponoka
CA.01.4807021	Big Valley	Big Valley
CA.01.4811068	Morinville	Morinville
CA.01.4811069	Legal	Legal
CA.01.4817021	High Prairie	High Prairie
CA.01.4806031	Cremona	Cremona
CA.01.4815035	Banff	Banff
CA.01.4818002	Fox Creek	Fox Creek
CA.01.4818005	Grande Cache	Grande Cache
CA.01.4813048	Athabasca	Athabasca
CA.01.4817029	Slave Lake	Slave Lake
CA.01.4817078	Manning	Manning
CA.01.4817093	High Level	High Level
CA.01.4817097	Rainbow Lake	Rainbow Lake
CA.01.4819014	Sexsmith	Sexsmith
CA.01.4819068	Fairview	Fairview
CA.01.4819074	Grimshaw	Grimshaw
CA.01.4808006	Bowden	Bowden
CA.01.4804011	Hanna	Hanna
CA.01.4811024	Warburg	Warburg
CA.01.4806036	Sundre	Sundre
CA.01.4819038	Peace River	Peace River
CA.01.4819042	McLennan	McLennan
CA.01.4819058	Spirit River	Spirit River
CA.01.4805011	Arrowwood	Arrowwood
CA.01.4808008	Innisfail	Innisfail
CA.01.4808009	Penhold	Penhold
CA.01.4806006	High River	High River
CA.01.4812009	Bonnyville	Bonnyville
CA.01.4803004	Cardston	Cardston
CA.01.4803014	Pincher Creek	Pincher Creek
CA.01.4802039	Bassano	Bassano
CA.01.4803002	Magrath	Magrath
CA.01.4806009	Turner Valley	Turner Valley
CA.01.4806011	Black Diamond	Black Diamond
CA.01.4808028	Gull Lake	Gull Lake
CA.01.4813011	Sunset Point	Sunset Point
CA.01.4806012	Okotoks	Okotoks
CA.01.4807044	Sedgewick	Sedgewick
CA.01.4813003	Nakamun Park	Nakamun Park
CA.01.4813010	Silver Sands	Silver Sands
CA.01.4812011	Bonnyville Beach	Bonnyville Beach
CA.01.4813057	West Baptiste	West Baptiste
CA.01.4809015	Rocky Mountain House	Rocky Mountain House
CA.01.4807039	Daysland	Daysland
CA.01.4807042	Killam	Killam
CA.01.4811003	Argentia Beach	Argentia Beach
CA.01.4807048	Hardisty	Hardisty
CA.01.4807054	Wainwright	Wainwright
CA.01.4813008	Ross Haven	Ross Haven
CA.01.4813061	Whispering Hills	Whispering Hills
CA.01.4813009	Castle Island	Castle Island
CA.01.4808027	Sunbreaker Cove	Sunbreaker Cove
CA.01.4807028	Rochon Sands	Rochon Sands
CA.01.4811008	Ma-Me-O Beach	Ma-Me-O Beach
CA.01.4811009	Silver Beach	Silver Beach
CA.01.4813013	Birch Cove	Birch Cove
CA.01.4812020	Horseshoe Bay	Horseshoe Bay
CA.01.4811038	Seba Beach	Seba Beach
CA.01.4811039	Betula Beach	Betula Beach
CA.01.4802038	Rosemary	Rosemary
CA.01.4811041	Point Alison	Point Alison
CA.01.4807027	White Sands	White Sands
CA.01.4815027	Ghost Lake	Ghost Lake
CA.01.4808013	Norglenwold	Norglenwold
CA.01.4808023	Birchcliff	Birchcliff
CA.01.4808025	Half Moon Bay	Half Moon Bay
CA.01.4813055	South Baptiste	South Baptiste
CA.01.4813007	Yellowstone	Yellowstone
CA.01.4813005	Val Quentin	Val Quentin
CA.01.4813006	West Cove	West Cove
CA.01.4811042	Lakeview	Lakeview
CA.01.4802014	Nobleford	Nobleford
CA.01.4811044	Kapasiwin	Kapasiwin
CA.01.4813016	Sandy Beach	Sandy Beach
CA.01.4811023	Golden Days	Golden Days
CA.01.4805002	Carmangay	Carmangay
CA.01.4813017	Sunrise Beach	Sunrise Beach
CA.01.4811020	Sundance Beach	Sundance Beach
CA.01.4813045	Mewatha Beach	Mewatha Beach
CA.01.4811005	Poplar Bay	Poplar Bay
CA.01.4811006	Crystal Springs	Crystal Springs
CA.01.4811022	Itaska Beach	Itaska Beach
CA.01.4815030	Waiparous	Waiparous
CA.01.4802002	Coutts	Coutts
CA.01.4813047	Sunset Beach	Sunset Beach
CA.01.4813049	Island Lake	Island Lake
CA.01.4813051	Island Lake South	Island Lake South
CA.01.4813053	Bondiss	Bondiss
CA.01.4807029	Donalda	Donalda
CA.01.4808005	Jarvis Bay	Jarvis Bay
CA.01.4812013	Pelican Narrows	Pelican Narrows
CA.01.4811004	Grandview	Grandview
CA.01.4809005	Burnstick Lake	Burnstick Lake
CA.01.4805022	Rockyford	Rockyford
CA.01.4805042	Carbon	Carbon
CA.01.4805044	Acme	Acme
CA.01.4805046	Linden	Linden
CA.01.4807006	Hughenden	Hughenden
CA.01.4812024	Vilna	Vilna
CA.01.4812026	Waskatenau	Waskatenau
CA.01.4810051	Myrnam	Myrnam
CA.01.4810009	Bawlf	Bawlf
CA.01.4802016	Barons	Barons
CA.01.4807046	Lougheed	Lougheed
CA.01.4805019	Hussar	Hussar
CA.01.4813012	Alberta Beach	Alberta Beach
CA.01.4806024	Beiseker	Beiseker
CA.01.4810031	Innisfree	Innisfree
CA.01.4812012	Glendon	Glendon
CA.01.4811045	Wabamun	Wabamun
CA.01.4807008	Amisk	Amisk
CA.01.4807032	Alliance	Alliance
CA.01.4801009	Foremost	Foremost
CA.01.4810034	Mannville	Mannville
CA.01.4810038	Paradise Valley	Paradise Valley
CA.01.4802009	Stirling	Stirling
CA.01.4804016	Cereal	Cereal
CA.01.4804019	Youngstown	Youngstown
CA.01.4804021	Veteran	Veteran
CA.01.4804022	Consort	Consort
CA.01.4805004	Champion	Champion
CA.01.4805021	Standard	Standard
CA.01.4805008	Lomond	Lomond
CA.01.4805009	Milo	Milo
CA.01.4807022	Gadsby	Gadsby
CA.01.4807024	Botha	Botha
CA.01.4810003	Rosalind	Rosalind
CA.01.4810004	Ferintosh	Ferintosh
CA.01.4810006	Edberg	Edberg
CA.01.4810012	Bittern Lake	Bittern Lake
CA.01.4810014	Hay Lakes	Hay Lakes
CA.01.4811026	Breton	Breton
CA.01.4802006	Warner	Warner
CA.01.4811021	Thorsby	Thorsby
CA.01.4808032	Clive	Clive
CA.01.4802023	Barnwell	Barnwell
CA.01.4808034	Alix	Alix
CA.01.4810046	Dewberry	Dewberry
CA.01.4810021	Holden	Holden
CA.01.4810041	Kitscoty	Kitscoty
CA.01.4810044	Marwayne	Marwayne
CA.01.4811046	Spring Lake	Spring Lake
CA.01.4810059	Andrew	Andrew
CA.01.4810062	Chipman	Chipman
CA.01.4813032	Clyde	Clyde
CA.01.4819048	Girouxville	Girouxville
CA.01.4819072	Berwyn	Berwyn
CA.01.4819008	Hythe	Hythe
CA.01.4819044	Donnelly	Donnelly
CA.01.4819056	Rycroft	Rycroft
CA.01.4808002	Elnora	Elnora
CA.01.4808004	Delburne	Delburne
CA.01.4804006	Empress	Empress
CA.01.4817039	Nampa	Nampa
CA.01.4817064	Hines Creek	Hines Creek
CA.01.4806008	Longview	Longview
CA.01.4803006	Glenwood	Glenwood
CA.01.4803008	Hill Spring	Hill Spring
CA.01.4809010	Caroline	Caroline
CA.01.4807036	Forestburg	Forestburg
CA.01.4807038	Heisler	Heisler
CA.01.4807051	Chauvin	Chauvin
CA.01.4807052	Edgerton	Edgerton
CA.01.4807056	Irma	Irma
CA.01.4812038	Improvement District No. 349	Improvement District No. 349
CA.13.11995136	Inuvik Region	Inuvik Region
CA.13.11995137	North Slave Region	North Slave Region
CA.13.11995138	Sahtu Region	Sahtu Region
CA.13.11995139	South Slave Region	South Slave Region
CA.13.11995140	Dehcho Region	Dehcho Region
CA.03.12088765	Ellice-Archie	Ellice-Archie
CA.03.12088766	Wallace-Woodworth	Wallace-Woodworth
CA.03.12088767	Lakeshore	Lakeshore
CA.03.12088768	Prairie Lakes	Prairie Lakes
CA.03.12088769	Oakview	Oakview
CA.03.12088770	Riding Mountain West	Riding Mountain West
US.AL.113	Russell County	Russell County
US.GA.183	Long County	Long County
US.KY.015	Boone County	Boone County
US.KY.205	Rowan County	Rowan County
US.AL.007	Bibb County	Bibb County
US.TN.013	Campbell County	Campbell County
US.AL.009	Blount County	Blount County
US.AL.011	Bullock County	Bullock County
US.AL.013	Butler County	Butler County
US.AL.015	Calhoun County	Calhoun County
US.AL.017	Chambers County	Chambers County
US.AL.019	Cherokee County	Cherokee County
US.AL.021	Chilton County	Chilton County
US.AL.023	Choctaw County	Choctaw County
US.AL.025	Clarke County	Clarke County
US.AL.027	Clay County	Clay County
US.AL.029	Cleburne County	Cleburne County
US.AL.031	Coffee County	Coffee County
US.AL.033	Colbert County	Colbert County
US.AL.035	Conecuh County	Conecuh County
US.AL.037	Coosa County	Coosa County
US.AL.039	Covington County	Covington County
US.AL.041	Crenshaw County	Crenshaw County
US.AL.043	Cullman County	Cullman County
US.AL.045	Dale County	Dale County
US.AL.047	Dallas County	Dallas County
US.AL.049	DeKalb County	DeKalb County
US.AL.051	Elmore County	Elmore County
US.AL.053	Escambia County	Escambia County
US.AL.055	Etowah County	Etowah County
US.AL.057	Fayette County	Fayette County
US.AL.059	Franklin County	Franklin County
US.AL.061	Geneva County	Geneva County
US.AL.063	Greene County	Greene County
US.AL.065	Hale County	Hale County
US.AL.067	Henry County	Henry County
US.AL.069	Houston County	Houston County
US.AL.071	Jackson County	Jackson County
US.AL.073	Jefferson County	Jefferson County
US.AL.075	Lamar County	Lamar County
US.AL.077	Lauderdale County	Lauderdale County
US.AL.079	Lawrence County	Lawrence County
US.AL.081	Lee County	Lee County
US.AL.083	Limestone County	Limestone County
US.AL.085	Lowndes County	Lowndes County
US.AL.087	Macon County	Macon County
US.AL.089	Madison County	Madison County
