place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
New Jersey,,,New Jersey,Greenland,,later called Hope
Ulator County,,,Pennsylvania,,,
East Indies,,,,,,
Saucen,"['Saucena', 'Sacena']",Lehigh County,Pennsylvania,,,
Sikhewunk,,,Ohio,,,place on Muskingum River
Kittatinny Hills,['Blue Mountains'],,Pennsylvania,,,
Lake Michigan,,,,,,
Westmoreland County,,Westmoreland County,Pennsylvania,,,
Achquittehannink,,,,,,
Somerset,,Perry County,Ohio,,,
Awassantachque,,,,,,Awossanttaque | Awossantagque
Kingston New York,['Esopus'],,,,,
Carleton Island,,,,,,Lake Ontario
Feuerlein,,,,,,
Lehigh Watergap,,,Pennsylvania,,,
Long Swamp,,Berks County,Pennsylvania,,,
Hessen-Kassel,,,,Germany,,
Belle River,,,,,,Western Ontario
Teockhansoutehan,['a French town'],,,,,
Harrisburg,,,Pennsylvania,,,
Cuyahoga,['Cayahaga'],,Ohio,,,
Freehold,,,New York,,,Greens County
Eva Creek,['Shamokin'],Northumberland County,Pennsylvania,,,Augusta Township
Kanawha River,,,,,,
Grosse Isle,,,Michigan,,,Detroit River
Gekelemukpechunk Creek,,,,,,
Rocky Point,,Ottawa County,Ohio,,,presumably Scott Point
Blue Mountains,,,Pennsylvania,,,
Wajomick,,,,,,
Cherokee River,,,,,,
Chotusitz,,,,,,Bohemia
Tenkhannek,,,,,,
Almenisepunk,,,Ohio,,,Vermilion Creek
Bavianskleof,,,,,,Cape Colony
Potatik,,,Connecticut,,,
Forty Mile Creek,,,,,,
Ostonwakin,,,,,,Pennsylvania Gegoraphic Names
Schoneck,,,Pennsylvania,,,
Paint River,,,,,,Wulamanink
Pentahametachquanunk,,,,,,
Shekomeko,,Dutchess County,New York,,,
Rhine River,,,,Germany,,
Greenwich,,Washington County,New York,,,
Dover,,,New York,,,
Wihilusing,,,,,,
Chestnut Ridge,,Westmoreland County,Pennsylvania,,,
Pickaway Plains,,Pickaway County,Ohio,,,
Little Lake,,,,,,
Wyalusing Island,,Bradford County,Pennsylvania,,,
Goschgoschunk,,,,,,
Nain,,,Pennsylvania,,,Bethlehem
Juniata River,,,Pennsylvania,,,Tachochniato
Beard's Tavern,,,New York,,,New Jersey and Warwick | place between Hope
Atlantic Ocean,,,,,,
Geneva,,Ontario County,New York,,,
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",Schuylkill County,Pennsylvania,,,
Presqu' Isle,['Prisqueisle'],,Pennsylvania,,,Erie
Mississippi Territory,,,,,,
Ohio,,,Ohio,,,State
Onondaga Town,['Onondago'],,Ontario,,,Grand River
Dansburry,,,,,,
Susquehanna,,,,,,North Branch
Garochiati,,,,,,
Sandusky,,,,,,
Allentown,,,Pennsylvania,,,
Hebron,,Lebanon County,Pennsylvania,,,
Woaketammeki,,,,,,
Munsee Town,,,Ontario,,,
Danbury,['Tenburey'],Fairfield County,Connecticut,,,
Cannitschochery,,,,,,
Shawnee Towns,,,Ohio,,,Au Glaise River
Huron River,['Petquotting River'],,,,,O
Tunkhannock,,Wyoming County,Pennsylvania,,,
Weh-to-pi-jah-neek,['Delaware'],,,,,Alder River
Schonbrunn,,,Ohio,,,on Muskingum River
Miami River,['Maumee'],,,,,Ohio-Indiana
St. Lawrence River,,,,,,
Schenectady,,,New York,,,
Little Yellow Creek,,Columbiana County,Pennsylvania,,,
Williamsburg,,,Virginia,,,
Petquotting Hill,,,,,,
Fort Harmer,,,Ohio,,,mouth of Muskingum River
Heerandyk,,,,,,Holland
Hudson River,['North River'],,New York,,,
Monocacy River,['Manakosi'],,Maryland,,,
Schenechten,,,,,,
Great Island,,,Ohio,,,above Marietta | at mouth of Muskingum River
Wechquetank,,,,,,
Western Sugar Creek,,,Ohio,,,Stark and Tuscarawas County
Amboy,,,,,,
New Purchase,,,,,,
Ostonwakin . Montoursville,"['also Otztonwakin', 'Otstunwachko', 'Oshttonwsko', 'etc.']",,Pennsylvania,,,County | Lycoming
Vermillion River,['presumably'],,Ohio,,,
Gnadenhutten,,,Pennsylvania,,,Lehigh River | on Mahony Creek
Pennsylvania,,,Pennsylvania,,,
Niagara Falls,,,,,,
Newark on Niagara River,,,Ontario,,,
British Dominions,,,,,,
Vincennes,['Post Vincennes'],,Indiana,,,
Great Lake,,Dutchess County,New York,,,
High Lands,,,New York,,,Orange and Putnam Cos.
Kaunschannek,['Kawunschhannek'],,,,,
Allegheny Mountains,,,Pennsylvania,,,Bedford and Somerset County
Georgetown Road,,,,,,
Lichtenau,,,,,,
Philadelphia,,,Pennsylvania,,,
Danzig,,,,Germany,,
Neusals,,,,Germany,,
Kinderhook,,Columbia County,New York,,,
Spring Garden,,,,,,
Jequaminische,,,,,,
Tuscarawi Creek,,,Ohio,,,
Chester,,,Pennsylvania,,,near Philadelphia
St. John,['Jan'],,,,,West Indies
Great Creek,['Lehigh River'],,,,,
Mohawk River,,,,,,
Ligonier,,,Pennsylvania,,,
Cleveland,,,Ohio,,,
Philadelphia,,,,,,
Buffalo Creek,,Wyoming County,New York,,,
Pennsylvania,,,Pennsylvania,,,Susquehanna
Canhawa,,,,,,
Huron River,['Clinton'],,Michigan,,,
Woapisitschankgissigabewik,"['Swan standing on the tips of his toes', 'Wabisìtschangìasigabawit']",,Ontario,,,
Kinhanschican,,,,,,Mingo Town in Ohio
Wulunk,"['Wheeling', 'West Virginia']",,,,,
Hope,['Hoop'],,,Suriname,,
Bay of Quinte,,,,,,Lake Ontario
Southbury,,New Haven County,Connecticut,,,
Copenhagen,,,,Denmark,,
New Lancaster,,Fairfield County,Ohio,,,Lancaster
Machilusing,,,,,,
Fort Ontario,,,New York,,,Oswego
Hudson,,Summit County,Ohio,,,
Yellow Creek,,Jefferson County,Ohio,,,
Vienna,,,,Austria,,
St. Marys,,,Ohio,,,
Nain,,,,,,Labrador
Stone Creek,"['probably Rocky River', 'Ohio']",,,,,
Wachovia,,,North Carolina,,,
White Eye's Town,,,Ohio,,,Coshecton County
Shippensburg,,Cumberland County,Pennsylvania,,,also Shippenstown
Bucks County,,Bucks County,Pennsylvania,,,
Fort Wabash,"['Vincennes', 'Indiana']",,,,,
Miami River,['Great Miami'],,Ohio,,,
Hickory Tavern,,,New Jersey,,,
Kondal,,,Ohio,,,probably Tuscarawas County
Kentucky,,,Kentucky,,,
Sikhewunk,,,,,,
Greentown,,,Ohio,,,near Mansfield | Sambesink | Penexit's Town | also Armstrong's Town
Tschiaque Creek,,,Ohio,,,East of Cuyahoga River
Mississippi River,,,,,,
Big Stillwater Creek,,Tuscarawas County,Ohio,,,
Newtown,,,Connecticut,,,
New Orleans,,,,,,
Sarepta,,,,Russia,,on Volga River
West Alexander,['Alexandria'],Washington County,Pennsylvania,,,
Tschitschiquanunk,['Schechschequanunk'],,,,,
Lechawachnek,"['Lechawachneck', 'Lechawachnick', 'Lechawaneck']",,Pennsylvania,,,Lackawanna
South Liberty,,,Pennsylvania,,,foot of Laurel Hill
Gnadenhuegel,,,,,,part of Gnadenhutten settlement
Tsche-ne-sche-e,['Seneca'],,,,,a fine valley
Petquotting River,['Huron River'],,,,,
Montreal,,Montreal,Quebec,,,
Beaver Creek,,,,,,
Tschehantowsh,,,,,,
Liegnitz,,,,Germany,,principality
Cawnschannek,"['Cawunschhannek', 'Cawinschhannek', 'Kawunsohhannek']",,,,,place on Allegheny River
Rowlya Creek,,Litchfield County,Connecticut,,,
Shenenge,,Lawrence County,Pennsylvania,,,Beaver River
New London County,,New London County,Connecticut,,,
Zeisberger Island,,,Ohio,,,Muskingum River
Lovalhanning,,Westmoreland County,Pennsylvania,,,
Jacob's Heights,['Jacobshuh'],Northumberland County,Pennsylvania,,,Lower Augusta Township
Deer Creek,,Pickaway County,Ohio,,,
Newcomerstown,,,Ohio,,,see Gekelemukpechunk
West Indies,,,,,,
DeTrenche,,,,,,
New York State,,,,,,
Oil Creek,['Cances'],Venango County,Pennsylvania,,,
Tulpehocken Berks County,['also Tulpehockin'],,Pennsylvania,,,
Second Great Creek,,,,,,
Lackawanna River,,,Pennsylvania,,,
Pittsburg,['Fort Pitt'],,Pennsylvania,,,
Tuscarawas County,,Tuscarawas County,Ohio,,,
Tschimitagan,,,,,,
Pinery,,,,,,
Bethanion,,,North Carolina,,,
Nescopeck,"['also Neskopeke', 'Neskopeko', 'Nessgabeke', 'Neeskipecky Neschopega', 'etc.']",Luzerne County,Pennsylvania,,,
Great Shawnee Town,,,,,,
Pennsylvania,,,Pennsylvania,,,
Saxony,,,,,,
Chambers' Mill,,Dauphin County,Pennsylvania,,,Fishing Creek
Minisink,,,Pennsylvania,,,Upper Delaware River
Connecticut,,,Connecticut,,,
England,,,,,,
Point Pleasant,,,West Virginia,,,Hasen County
Davall Academy,,,,,,England
Wabicamigunk,,,,,,
Litchfield,,,Connecticut,,,
Gigeijunk,['Maumee'],,Indiana,,,Fort Wayne | town at the Forks of Miami River
Kitigan,,,Ontario,,,
Salisbury,,Somerset County,Pennsylvania,,,
New Jersey,,,New Jersey,,,
Fort Wayne,,,Indiana,,,
Saddle,,,,,,
Mombaccus,['Monbacos'],Ulster County,New York,,,Rochester Township
Black River,['presumably'],,Ohio,,,
Lahalawoaskute,,,,,,Sipung Creek
Steuben County,,Steuben County,New York,,,
Newtown,,Fairfield County,Connecticut,,,
Hudson Bay,,,,,,
Achsunnissunk,,,,,,
Satked,,Litchfield County,Connecticut,,,
Oswego River,,,,,,New York Gegoraphic Names
Raisin River,['Rissin'],,Michigan,,,
Woachejeek Utoenink,,,,,,
Braunschweig,,,,,,Brunschwig
Schkipoakanink,,,Ontario,,,place on Schneyecarty
Tripoli,,,,,,
Stony Point,,Monroe County,Michigan,,,
Catskill,,,New York,,,County | Greene
New Stockbridge,,,,,,
Mohanatony,['Mohanatoney'],,Pennsylvania,,,
Wequetank Creek,,Monroe County,Pennsylvania,,,
Mahony,,Lawrence County,Pennsylvania,,,place on Beaver Creek
Langundo-Utenunk Friedenstadt,['Langunto-Utenunk'],,,,,
Pemakxit's Town,,,,,,
Oneida Lake,,,New York,,,
Leh-oha-wa-hen-neek,['Delaware'],,,,,the Forks
Menissing,,Pike County,Pennsylvania,,,
Sneicaerty,,,,,,Schney e carty | Schneyecarty | Schnei Kaerty | Snycardy | Sneicardy
Long Island,,,New York,,,
Fannetsburg,,Franklin County,Pennsylvania,,,
King's Bridge,,,,,,New YorkC | Harlem River
Gnadenhutten,,,,,,
Rockills Mill,,,,,,
Put in Bay,['Pudding Bay'],,,,,Ohio Georgraphic Names | Lake Eire
Chippewa Creek,,,,,,near Niagara
Canaan,,Litchfield County,Connecticut,,,
Woaketammeki Muskingum County,"['Wackatomake', 'W[?]']",,Ohio,,,near Dresden
Allegheny River,,,,,,
Charleston,,Brooke County,West Virginia,,,
Sheffield,,Berkshire County,Massachusetts,,,
Sakechnak Creek,,Carbon County,Pennsylvania,,,
Old Chillicothe,,Pickaway County,Ohio,,,
Virginia,,,Virginia,,,
Saltlick,,,,,,
Woapimintshi,['Chestnut tree'],,Indiana,,,White River
Brownstown,,,,,,
Ginhanschicanunk,,,,,,
Salmons Creek,,,New York,,,between Genessie River and Sodus Point | Lake Ontario
Dartmouth College,,Hanover,New Hampshire,,,
Nazareth,,,Pennsylvania,,,
Sandusky,,,Ohio,,,
Wooster,,,Ohio,,,
Wabash River,['Wobash'],,Indiana,,,
Huron Point,['Clinton'],,Michigan,,,mouth of Huron River
Plains,,,,,,
Shippenstown,,,,,,
Partners,,,,,,Second Nine
Kanawha River,,,West Virginia,,,
Chester County,,Chester County,Pennsylvania,,,
South Huron Strait,['Straight'],,,,,
Miami Bay,['Maumee'],,,,,
Nescopeck,,,,,,
Wapwallopen,,,,,,
Phallobank,['Phallapank'],,,,,
Woodbury,,Litchfield County,Connecticut,,,
Poughkeepsie,,Dutchess County,New York,,,
Shamokin Island,,Northumberland County,Pennsylvania,,,
Rocky Point,,Ottawa County,Ohio,,,16 miles from Sandusky | probably Scott Point
Washington Road,,,Pennsylvania,,,Washington and Beaver County
Fort Allen,,,Pennsylvania,,,Allentown
Salem,,,,,,North Carolina Moravian center
Wanachquaticok,,Berkshire County,Massachusetts,,,Westenhuc
Wechpakak,,,,,,
Stony Creek,,Logan County,Ohio,,,
Onengo Creek and surrounding area,"['French Creek', 'Venango']",Venango County,Pennsylvania,,,
Fredrickstown,,,,,,
Shomokin,,,Pennsylvania,,,
Little Nine Partners Tract,,Dutchess County,New York,,,
Michillimakinac,,,Michigan,,,
Beaver,,,Pennsylvania,,,
Boomerstown,,Guernsey County,Ohio,,,
Detroit River Island,,,,,,
Croton River,['Groodens Revier'],,,,,
Mohawk River,,,New York,,,
Retrenche River,['Thames'],,,,,
Chambers' Ferry,,,,,,crossing point of the Susquehanna below Harrisburg
Elisabeth Point,,,New Jersey,,,
Zanesville,,,Ohio,,,Muskingum Co | Licking
Stone Creek,,Tuscarawas County,Ohio,,,
Sandusky River,,,,,,
Ohio River and area,,,,,,
Juniata River,,,Pennsylvania,,,
Luzerne County,,Luzerne County,Pennsylvania,,,
Saginaw,"['Sackina', 'Sakina']",,Michigan,,,
Virgin Islands,['Danish West Indian Islands'],,,,,
Little Beaver Creek,,,,,,
Oneida,,,New York,,,
Wapwallopen,"['also Wambhallobank', 'Womphallepang', 'Waabhallobank', 'Waquallopank', 'etc.']",Luzerne County,Pennsylvania,,,Hollenback Township
Zanesville,,,,,,
Rapide,,,Ontario,,,probably on Jongquakamik River
Middletown,['Middle Town'],,Pennsylvania,,,
Balings Kill,,,Pennsylvania,,,probably Carbon County
Nanticoke Town,,Luzerne County,Pennsylvania,,,
Zoneschio,,,New York,,,
Rush Creek,,Fairfield County,Ohio,,,
Carolina,,,,,,Colony
Cuyahoga,,,,,,
Dungannon,,,Ontario,,,
Pachgatgoch,['Pachgatgoko'],,Connecticut,,,Moravian mission place
Achain,,,Ohio,,,Stone River
Georgetown,,,,,,District of Columbia
Zoneschio,,,,,,Zonesschio
Stockbridge,['Old'],,Massachusetts,,,
Pemidhannek,['Zoneschio'],,New York,,,Delaware name of Genessee River
Minnissing,,,,,,Minissink
Berks County,['Berkshire'],Berks County,Pennsylvania,,,
Quenischachchachqueh,,Lycoming County,Pennsylvania,,,West Branch | Susquehanna
Redstone,,,,,,
Gekelemukpechunk Delaware Center,"['Kekelemukpeachunk', 'Kikeelmukpechunk']",,Ohio,,,Newcomerstown
Lancaster,,,Pennsylvania,,,
Susquehanna,,,Pennsylvania,,,River and area
Little Beaver Creek,,,Ohio,,,
Tuscarawi now Bolivar,['Tuscorawas'],,Ohio,,,
Delaware River Valley,,,,,,
Fort Pitt,,,,,,
New Lisbon,,Columbiana County,Ohio,,,Lisbon
Tioga,"['also Tiaogu', 'Diaogu']",Bradford County,Pennsylvania,,,modern Athens
Perth Amboy,,,New Jersey,,,
Munsee Town,['Muntzy'],,,,,
Presqu'isle,,,Pennsylvania,,,Erie
South Beaver,,Beaver County,Pennsylvania,,,
Youngstown,,Youngstown,Ohio,,,
Garochiati,,,New York,,,Seneca town on Pemidhannek Creek
Genesee,,,New York,,,
Onengo,['Venango'],,,,,
Meschascungk,,,,,,
Clinton River,,,Michigan,,,
Gnadenthal,,,Pennsylvania,,,near Nazareth
Grand River,,,Ontario,,,
Allen Township,,Northampton County,Pennsylvania,,,
Mackinaw City,['Makina'],,Michigan,,,
Wilawana,,,,,,
Passekachkungk,['Passikachkunk'],,New York,,,place on Canisteo River
Mahoning Creek,['Mahony'],,,,,Ohio between Ravenna and Canfield
Black River,,,Ohio,,,
Tuscarawas River standing for Muskingum,"['Tuscarabi', 'Delaware', 'Tuscalabi']",,Ohio,,,
Tawa Town,,,Ohio,,,location of Toledo
Pittsburgh,,,Pennsylvania,,,
Franckfurth,['Frankford'],Philadelphia County,Pennsylvania,,,
Shammunk,,,,,,Shommunk
Beaver Creek,,,,,,Little
Rays Hill,['Race Hill'],Bedford County,Pennsylvania,,,
Friedenshutten,,,Pennsylvania,,,Wyalusing | on Susquehanna
Fort Kanawha,['Canhawa'],,,,,
Seneca Territory,,,New York,,,
France,,,,France,,
Scotland,,,,,,
Bath,,Steuben County,New York,,,
Tioga,"['Tiaogu', 'Diaogu']",,Pennsylvania,,,
Canandagua,,Ontario County,New York,,,
Camden,,,Ontario,,,
Old Mexico,,,,,,
Sussex County,,Sussex County,New Jersey,,,
Tunkhanneck,,Monroe County,Pennsylvania,,,
Swego,,,Ontario,,,Mingue Town on Grand River
West River,,,,,,
Malden. Ontario,,,,,,
Fighting Island,,,,,,below Detroit
Genesee River,['Tscheneshee'],,New York,,,
Windsor,,,,,,England
Wolf Creek,,Morgan County,Ohio,,,
Fort Herkemen,,,New York,,,Herkimer
Tioga River or Creek,,,,,,
Potomac River,['Patomick'],,,,,
Cunningham Island,,,Ontario,,,probably Pelee Island
Gulf of Lawrence,,,,,,
South America,,,,,South America,
Tavandemung,,,,,,Tauwundamunk
Pittsburgh,['Fort Pitt'],,Pennsylvania,,,
Fort Oswego,,,New York,,,
Cayuga Town,['Kajugu'],,Ontario,,,Grand River
Morristown,,Belmont County,Ohio,,,
Oneida,,,New York,,,town east of Oneida Lake
Acapulco,,,,Mexico,,
Spanish Colonies,,,,,,
Lower Cayuga Town,['Kajugu'],,Ontario,,,Grand River
Lehigh River,,,Pennsylvania,,,
Fulneck,,,,,,England
Burlington,,,Ontario,,,
Quitahannek Creek,,,Ohio,,,Richland or Ashland County
Bremen,,,,Germany,,
Walhanding Creek,,,Ohio,,,
Licking,['Zanesville'],Muskingum County,Ohio,,,
Whitewater River,,,,,,
Glades Road,,,Pennsylvania,,,
Bethel,,Berks County,Pennsylvania,,,
Fort Laurens,,,,,,
Miskanika,,,,,,
Tiaogu,,,Pennsylvania,,,
Guernsey County,,Guernsey County,Ohio,,,
Duncan's Falls,,Muskingum County,Ohio,,,
New England,,,,,,
Wachovia,['Wachua'],,North Carolina,,,
Tenk-han-neck,['Delaware'],,,,,Small River
Muskingum River,,,,,,
Gracehill,,,,Ireland,,
St. John,,,,,,West Indies
Tioga,,,Pennsylvania,,,
Fort Hunter,,,New York,,,
Cuyahoga Old Town,,,,,,
Mohawk village,,,Ontario,,,Brandt's Town near Brantford
Silesia,,,,Germany,,
Ephrata,,,Pennsylvania,,,
Mahican Lake,,,Ohio,,,
Otsinachson,,,,,,West Branch. Gegoraphic Names | above Susquehanna
Warwick,,,Pennsylvania,,,
Fort McIntosh,,Beaver County,Pennsylvania,,,
Ontario,,,Ontario,,,Thames River
Zoneschio River,,,,,,
Tioga Point,,Bradford County,Pennsylvania,,,site of Athens
Gekelemukpechunk,,,Ohio,,,Newcomerstown | Kek ke la muk paechung | Kekaelemapaechunk | Kekelamukpechen | Kakelamukpechung
Schenectady,['Schenechten'],,New York,,,
Forks of the Road,,,,,,
Saratoga,,,New York,,,
Chestnut Hill,,,,,,
Cornwall,,Litchfield County,Connecticut,,,
Westenhuc,,,Massachusetts,,,
Mingee Town,,,,,,Sandusky River
Delaware River,,,,,,Water Gap
Quenischachachgeek,,,,,,
Mahoning Creek,['Mahony'],,,,,Pa
Kittannuk,,,Pennsylvania,,,Kittanning
Wolf Mountain,,,,,,Pocono Mountains
Mochwesung,,,,,,
Blue Mountains,,,,,,
Greensburg,,Westmoreland County,Pennsylvania,,,
Washington County,,Washington County,Ohio,,,
New Orleans,,,Louisiana,,,
Petquattunk,['Pettquotting'],,Ohio,,,Huron River
Musconetcong,['Miskanika'],,New Jersey,,,River and Mountain
Gnadenhutten,['Old Gnadenhutten'],,,,,Mahony
Wyalusing,['Wihilusing'],,,,,
Wehtak,,Litchfield County,Connecticut,,,Salisbury
Wanachquaticok,,,Massachusetts,,,
Northampton County,,Northampton County,Pennsylvania,,,
Lancaster,,Fairfield County,Ohio,,,
Oblong,,,,,,New York-Connecticut
Mahony,['Mahoni'],,Pennsylvania,,,
Hope,,,North Carolina,,,
Sikhewunk,,Muskingum County,Ohio,,,Salt Creek Township | Chandlersville
Esopus,,,New York,,,
Swatara Creek and Valley,,,Pennsylvania,,,
Missouri River,,,,,,
Silesia,,,,,,
Anohochquage,,,,,,
White Stone,,,New York,,,probably Long Island
Northampton County,,Northampton County,,,,
Honeywint,,,,,,
Ravenna,,,Ohio,,,
Granville,,Licking County,Ohio,,,
Sichem,,Dutchess County,New York,,,
Old Sandusky Town,,,,,,
Christian Spring,,,Pennsylvania,,,
Saltlick,,,,,,not far from Goshen
Cambridge,,Guernsey County,Ohio,,,
Mahican Town,,Mercer County,Ohio,,,near Heckford | St. Marys River
Vredens Huia,,,,,,
Susquehanna,,,,,,West Branch
Greenville,,Darke County,Ohio,,,
Warwick,,Chester County,Pennsylvania,,,
Anokran,,,,,,place between Shekomeko and Wehtak
Warwick,['Warrick'],,New York,,,
Gekelemukpechunk,,,,,,
Maumee River,['often called Miami'],,Ohio,,,
St. John,['Jan'],,,,,West Indies
Sichel's Tavern,,,,,,
Woodbury,,,Connecticut,,,
Miami Towns,['Maumee'],,Indiana,,,
Sikhewo,['Sikhewunk'],,Pennsylvania,,,above Kaskaskunk | place on Beaver Creek
Petquotting Creek,['Huron River'],,Ohio,,,
Tonawanda Town and Creek,['Taniwandi'],Genesee County,New York,,,
Long Island,,Lycoming County,Pennsylvania,,,
Shawnee Towns,,,,,,
Wabash River,,,Indiana,,,
Shenango,,,,,,
Moden Creek,,,,,,
Tulpehocken,,,,,,
Thuernstein,,,Pennsylvania,,,
Lake Ontario,,,,,,
North Bend,,Hamilton County,Ohio,,,
York County,,York County,,,,
Munsee Town,,,Ontario,,,Thames River
Wisauchsican,,,,,,place between the Muskingum and Ohio River
Galloway's Island,,,Pennsylvania,,,Delaware River
Illinois,,,Illinois,,,
Goschachgunk,['Goschaching'],,Ohio,,,Coshocton
Gnadenfroi,,,,Germany,,
Fort Defiance,,Defiance County,Ohio,,,Maumee River
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,
Fish-Kill,,Dutchess County,New York,,,
Limestone,,Mason County,Kentucky,,,Maysville
New York,,,New York,,,
Gachnawage,,,,,,
Cayahaga,,,,,,
Stroudsburg,"['also Dansbury', 'Danesberg']",,Pennsylvania,,,
Melelagamogak,,,,,,
Allemaengel,,Lehigh County,Pennsylvania,,,Lynn Township
Sakunk,['Gakung'],,Pennsylvania,,,place at confluence of the Beaver River with the Ohio
Austria,,,,Austria,,
Delaware River,,,,,,
York County,,York County,Pennsylvania,,,
Women's Town,,,,,,
New Connecticut,,,,,,
New Lisbon,,,Ohio,,,
Leh-cha-wi-tank,['Delaware'],,,,,
Langundo-Utenunk,,Lawrence County,Pennsylvania,,,Friedenstadt | Beaver River
Canada,,,,Canada,,
Kekelemukpechunk,,,,,,
Esopus,,,New York,,,Sopus
Sharon,,,Connecticut,,,
Brownstown,,,Michigan,,,mouth of Huron River below Detroit
Hope,,,New Jersey,,,
Industry,,,Ohio,,,place on Mahony Creek
Laurel Hill,,,Pennsylvania,,,Westmoreland and Somerset County
Amherstburg,,,Ontario,,,
Carlisle,,,Pennsylvania,,,
Wackatemake,,,,,,
Cohocten Creek,,Steuben County,New York,,,
Fort Norris,,Monroe County,Pennsylvania,,,
Ganawacu,,,,,,
Miami River,['Maumee'],,,,,Ohio-Indians
Shomoko,,,,,,
Esopus,,,New York,,,Kingston | Sopus
Ancaster,,,Ontario,,,
Christiansbrunn,['Christian Spring'],,Pennsylvania,,,place near Nazareth
Lower Smithfield Township,,Northampton County,Pennsylvania,,,
America,,,,,,
Caniseraga,,,,,,
New Salem,,Tuscarawas County,Ohio,,,
Augusta,,Bracken County,Kentucky,,,
Fort McIntosh,,,,,,
Pipe Creek,,Erie County,Ohio,,,
Beaver River,,,,,,Great | Creek
Michigan,,,Michigan,,,
Quittoppehille,,,,,,
Ohio,,,Ohio,,,
Vier Bruder,['Four Brothers'],,,,,place between Gnadenhutten and Nescopeck
Petqualach,,,Pennsylvania,,,town on Upper Allegheny River
Chemung,,,,,,
Geneseo,,,,,,
Jenky Hall,,,,,,Detroit
Gokhosing,,,,,,place in Ohio
Hutberg,,,,Germany,,hill near Herrnhut
Kanawha River,['Canhawa'],,West Virginia,,,
Ostonwakin Creek,['also Oztonwake'],Lycoming County,,,,Pennsylvania Gegoraphic Names | Loyalsock Creek
Butz Ferry,,,Pennsylvania,,,probably on Youghiegheny River
Maumee River,['Miami'],,,,,
Mingo Town,,,,,,Ohio River
Yorktown,,,Virginia,,,
Fort Laurena,,,,,,
Gachtochwawunk,,,,,,
Barton,,,Ontario,,,
Jefferson County,,Jefferson County,Ohio,,,
Onengo River,,,Pennsylvania,,,French Creek
River Rouge,['River Bush'],,Michigan,,,
Wilson's Creek,['also Hackientschous Creek'],Northampton County,Pennsylvania,,,
Goschachging,,,,,,
Fort Wayne,,,Indiana,,,Kikeyuak | also Gigeyunk
Dartmouth College,,,,,,
Warte,,,,,,
Munsee Town,,,Ontario,,,on Thames River above Fairfield
Province Island,,,Pennsylvania,,,Philadelphia
Little Schuylkill River,,,Pennsylvania,,,
Chenango,['Zeninge'],Broome County,New York,,,
Steubenville,,,Ohio,,,
Schatticock,"['Shattegock', 'Shattigok', 'Shattegook', 'Skattegock', 'Skatchkock']",Rensselaer County,New York,,,
Thuppeeking,,,,,,meaning Schonbrunn | Thupaken | Thuppeekunk
Schonbrunn,,,,,,
Vermilion Creek,,,Ohio,,,also Almenisepunk
Tuscarores,,,,,,place near Wyalusing
Whitestown,,,New York,,,site of Utica
Rhode Island,,,Rhode Island,,,
Woapikamikunk,,,,,,
Sakechnak Creek Carbon County,"['also Sankechnank', 'Sakekenack', 'Sankinghnack', 'Sankegenahk', 'Sanschanachke', 'etc.']",,Pennsylvania,,,
Batomick,,,,,,
Oswego Falls,,,,,,New York Gegoraphic Names
Firelands,,,Ohio,,,Erie and Huron County
Pittsburg,,,Pennsylvania,,,
Beaver Creek,['Little Beaver River'],,,,,
Potatick,,Fairfield County,Connecticut,,,
Buffalo Creek,,Brooke County,West Virginia,,,
Wechquetank,,Monroe County,Pennsylvania,,,
Ronchey's Tavern,"[""Runchey's""]",,,,,
Onengo,,,,,,
Kittatinny,"['al', 'Middle Mountain', 'Kittetani']",Franklin County,Pennsylvania,,,
Washington County,,Washington County,Pennsylvania,,,
Presqu' Isle,,,,,,
Schatticook,,,New York,,,
Caribbean Islands,,,,,,
Asscennessink,,,,,,
Tower Hamlets,,,,,,England | London
Brant's Town,"['probably Brantford', 'Ontario']",,,,,
Fort Laurens,,,Ohio,,,near Bolivar
Pachgatgoch Hill,,Litchfield County,Connecticut,,,
Deykert's Place,,,,,,
Monocacy Creek,,,Pennsylvania,,,
Philadelphia--Pottersfield,,,,,,
Queenston,['Queenstown'],,Ontario,,,
Great Island,,Clinton County,Pennsylvania,,,
White River,,,,,,
Woodbeck's Tavern,,,,,,New York Geographic Names | place about halfway between Kingston and Albany
Philipsburg,,,New Jersey,,,
New Jersey,,,New Jersey,,,
Rixdorf,['Rucksdorf'],,,Germany,,
Dansville,['Danville'],Livingston County,New York,,,
Salem,,Sandusky County,Ohio,,,
Upper Sandusky,,,Ohio,,,
Canfield Mahoning County,['Canefield'],,Ohio,,,
Petquotting,,,,,,Indian town
Harrison's Ferry,,,Pennsylvania,,,Harrisburg | Harris Ferry
Schoharie,,,,,,
Tawa Bay,,,,,,Maumee Bay
Thames River,,,,,,
Hamilton's Mills,,,,,,
Meniolagomeka,,Monroe County,Pennsylvania,,,Mission place
Litchfield,,Litchfield County,Connecticut,,,
Mahoning Creek Carbon County,['Mahoni'],,Pennsylvania,,,
London,,,,,,England
Lichtenau,,,Ohio,,,on Muskingum River
Cayuga,['town'],,New York,,,
Schwego,,,Ontario,,,Grand River
Diaugu,,,,,,Diaoju
Harris' Ferry,"[""also Harrison's Ferry""]",,Pennsylvania,,,Harrisburg
